194	123
171	120
159	123
151	128
143	131
136	135
128	139
122	144
112	152
108	155
105	159
102	173
99	179
97	185
95	190
93	201
90	215
90	243
90	255
89	262
89	273
89	293
87	304
78	325
73	337
66	352
61	363
54	373
50	388
51	398
55	412
59	419
67	423
85	428
97	430
107	431
110	435
117	445
121	446
127	449
136	450
146	449
150	444
153	437
153	428
151	422
145	417
136	409
133	405
132	401
132	399
144	393
153	390
161	387
163	384
173	379
181	373
186	370
181	345
179	341
189	339
194	331
189	331
183	331
178	335
169	337
157	337
147	335
144	333
136	330
131	327
125	323
119	318
116	311
112	301
111	296
109	288
106	279
104	271
103	264
102	255
101	246
101	240
103	235
103	232
105	229
105	225
107	215
111	202
115	191
117	187
118	187
125	199
129	205
139	213
147	219
160	224
171	227
181	232
191	237
207	249
210	254
212	257
214	265
215	271
215	277
215	297
215	307
214	314
213	320
211	333
210	341
209	345
205	358
205	364
203	371
203	385
203	395
205	411
211	425
219	434
227	435
237	439
247	441
254	443
261	435
262	425
262	411
253	403
245	392
240	382
240	376
247	377
259	391
271	399
278	407
285	414
288	418
293	418
305	416
313	411
319	407
326	397
332	393
337	385
339	370
338	360
335	345
329	335
321	325
317	316
313	308
305	287
297	279
294	267
290	252
287	238
285	222
282	205
279	196
274	182
267	169
259	157
253	150
245	143
236	135
225	129
210	124
198	122
186	120
105	225
111	225
121	226
129	229
111	243
119	241
127	241
127	242
126	245
121	247
119	250
119	255
119	256
121	259
123	260
126	260
129	259
129	256
127	252
126	249
125	247
125	247
123	245
123	245
121	245
119	250
122	256
124	256
124	250
121	249
121	251
125	255
125	255
125	256
124	257
123	257
123	257
125	257
126	257
127	257
127	256
127	254
124	252
124	252
125	252
125	252
126	241
103	245
105	223
115	188
117	188
122	194
131	203
136	206
142	214
146	219
152	222
159	224
163	225
170	228
177	233
179	234
191	237
193	239
195	240
199	243
193	245
191	245
187	241
181	241
177	242
174	243
171	245
174	245
181	245
181	245
180	244
181	243
185	243
187	243
191	243
191	243
192	247
192	251
190	253
189	255
191	252
189	257
187	259
185	261
183	261
180	260
178	256
180	248
181	246
185	245
190	247
190	251
188	256
188	258
185	260
181	260
181	257
181	253
183	251
187	250
187	250
185	255
184	257
184	257
183	255
183	249
183	247
187	247
187	249
185	252
185	255
185	257
189	257
189	257
187	260
189	260
191	257
191	253
191	249
197	241
200	241
184	259
139	276
142	282
142	279
139	278
139	278
141	280
143	280
146	281
147	281
147	281
143	283
143	283
146	283
147	283
147	283
147	282
141	295
141	295
147	297
149	298
151	298
140	298
142	299
150	300
154	300
155	300
147	301
145	301
153	301
156	301
157	299
159	298
160	297
162	297
164	296
164	296
162	299
159	299
158	300
153	301
148	301
145	301
141	301
137	300
111	298
115	312
130	325
142	329
147	335
161	336
173	336
181	336
188	335
192	337
180	339
175	339
179	349
181	353
184	361
185	364
185	369
179	373
171	375
168	379
162	383
159	383
158	385
162	386
168	387
169	388
173	389
165	391
163	390
163	390
157	392
153	395
146	402
144	406
143	409
143	408
149	398
154	394
154	397
162	393
166	392
171	391
171	393
165	401
158	408
157	409
157	410
159	411
163	401
167	397
169	395
172	392
175	391
181	392
181	392
180	399
177	411
177	413
177	406
177	399
179	394
179	393
179	393
186	393
188	393
192	393
187	393
189	392
192	392
193	395
193	401
194	408
194	413
193	415
193	416
189	407
190	397
191	397
191	394
192	392
197	391
200	391
200	391
196	393
201	392
205	411
207	419
213	424
217	429
220	432
228	439
235	441
239	441
239	442
240	446
240	448
239	449
239	454
238	455
239	455
254	453
259	449
265	448
273	443
281	441
285	439
290	433
291	427
290	423
289	419
286	417
286	417
287	426
287	428
287	432
280	437
275	440
265	446
245	454
241	455
235	455
223	459
217	461
207	461
193	463
183	464
169	465
159	465
153	466
143	465
137	464
128	461
123	460
116	458
114	457
111	456
103	450
101	448
100	444
99	436
99	435
100	429
104	429
109	429
113	434
115	436
117	441
121	446
123	447
123	447
123	450
123	453
123	455
123	456
123	456
123	456
123	457
124	457
